Entity,Code,Year,Total_population
Kyrgyzstan,KGZ,2017,6190000
Laos,LAO,2017,6953000
"Latin America",,2017,636233024
Latvia,LVA,2017,1951000
Lebanon,LBN,2017,6819000
Lesotho,LSO,2017,2092000
Liberia,LBR,2017,4702000
Libya,LBY,2017,6581000
Liechtenstein,LIE,2017,38000
Lithuania,LTU,2017,2845000
Luxembourg,LUX,2017,592000
Macao,MAC,2017,623000
Madagascar,MDG,2017,25571000
Malawi,MWI,2017,17670000
Malaysia,MYS,2017,31105000
Maldives,MDV,2017,496000
Mali,MLI,2017,18512000
Malta,MLT,2017,438000
"Marshall Islands",MHL,2017,58000
Martinique,MTQ,2017,376000
Mauritania,MRT,2017,4283000
Mauritius,MUS,2017,1264000
Mayotte,MYT,2017,253000
Mexico,MEX,2017,124777000
"Micronesia (country)",FSM,2017,111000
Moldova,MDA,2017,4060000
Monaco,MCO,2017,38000
Mongolia,MNG,2017,3114000
Montenegro,MNE,2017,628000
Montserrat,MSR,2017,5000
Morocco,MAR,2017,35581000
Mozambique,MOZ,2017,28649000
Myanmar,MMR,2017,53383000
Namibia,NAM,2017,2403000
Nauru,NRU,2017,11000
Nepal,NPL,2017,27633000
Netherlands,NLD,2017,17021000
"New Caledonia",NCL,2017,277000
"New Zealand",NZL,2017,4702000
Nicaragua,NIC,2017,6385000
Niger,NER,2017,21602000
Nigeria,NGA,2017,190872992
Niue,NIU,2017,2000
"North America",,2017,361942016
"North Korea",PRK,2017,25430000
"North Macedonia",MKD,2017,2082000
"Northern Mariana Islands",MNP,2017,57000
Norway,NOR,2017,5296000
Oceania,,2017,41006000
Oman,OMN,2017,4666000
Pakistan,PAK,2017,207906000
Palau,PLW,2017,18000
Palestine,PSE,2017,4747000
Panama,PAN,2017,4107000
"Papua New Guinea",PNG,2017,8438000
Paraguay,PRY,2017,6867000
Peru,PER,2017,31444000
Philippines,PHL,2017,105173000
Poland,POL,2017,37953000
Portugal,PRT,2017,10289000
"Puerto Rico",PRI,2017,3164000
Qatar,QAT,2017,2725000
Reunion,REU,2017,876000
Romania,ROU,2017,19654000
Russia,RUS,2017,145530000
Rwanda,RWA,2017,11981000
"Saint Barthlemy",,2017,10000
"Saint Helena",SHN,2017,6000
"Saint Kitts and Nevis",KNA,2017,52000
"Saint Lucia",LCA,2017,181000
"Saint Martin (French part)",MAF,2017,37000
"Saint Pierre and Miquelon",SPM,2017,6000
"Saint Vincent and the Grenadines",VCT,2017,110000
Samoa,WSM,2017,195000
"San Marino",SMR,2017,34000
"Sao Tome and Principe",STP,2017,207000
"Saudi Arabia",SAU,2017,33101000
Senegal,SEN,2017,15419000
Serbia,SRB,2017,8830000
Seychelles,SYC,2017,96000
"Sierra Leone",SLE,2017,7488000
Singapore,SGP,2017,5708000
"Sint Maarten (Dutch part)",SXM,2017,41000
Slovakia,SVK,2017,5448000
Slovenia,SVN,2017,2076000
"Solomon Islands",SLB,2017,636000
Somalia,SOM,2017,14589000
"South Africa",ZAF,2017,57010000
"South Korea",KOR,2017,51096000
"South Sudan",SSD,2017,10911000
Spain,ESP,2017,46647000
"Sri Lanka",LKA,2017,21128000
Sudan,SDN,2017,40813000
Suriname,SUR,2017,571000
Sweden,SWE,2017,9905000
Switzerland,CHE,2017,8456000
Syria,SYR,2017,17096000
Taiwan,TWN,2017,23675000
Tajikistan,TJK,2017,8880000
Tanzania,TZA,2017,54660000
Thailand,THA,2017,69210000
Timor,TLS,2017,1243000
Togo,TGO,2017,7698000
Tokelau,TKL,2017,1000
Tonga,TON,2017,102000
"Trinidad and Tobago",TTO,2017,1384000
Tunisia,TUN,2017,11433000
Turkey,TUR,2017,81116000
Turkmenistan,TKM,2017,5758000
"Turks and Caicos Islands",TCA,2017,37000
Tuvalu,TUV,2017,11000
Uganda,UGA,2017,41167000
Ukraine,UKR,2017,44488000
"United Arab Emirates",ARE,2017,9487000
"United Kingdom",GBR,2017,66727000
"United States",USA,2017,325084992
"United States Virgin Islands",VIR,2017,105000
Uruguay,URY,2017,3437000
Uzbekistan,UZB,2017,31960000
Vanuatu,VUT,2017,285000
Vatican,VAT,2017,1000
Venezuela,VEN,2017,29402000
Vietnam,VNM,2017,94601000
"Wallis and Futuna",WLF,2017,12000
"Western Sahara",ESH,2017,553000
Yemen,YEM,2017,27835000
Zambia,ZMB,2017,16854000
Zimbabwe,ZWE,2017,14237000
